model,link,cost
Apple iPhone 5S 32GB / Cinzento / Grau B,https://www.ioutletstore.pt/shop/iphones/iphone5s/apple-iphone-5s-32gb-cinzento-grau-b/,"137,80€"
Apple iPhone 5S 16GB / Dourado / Grau B,https://www.ioutletstore.pt/shop/iphones/iphone5s/apple-iphone-5s-16gb-dourado-grau-b-6/,"111,38€"
Apple iPhone 11 128GB / Roxo / Grau B,https://www.ioutletstore.pt/shop/iphones/iphone-11/apple-iphone-11-128gb-roxo-grau-b-2/,"516,46€"
Apple iPhone XR 256GB / Branco / Grau C Mais,https://www.ioutletstore.pt/shop/iphones/iphone-xr/apple-iphone-xr-256gb-branco-grau-c-mais/,"453,70€"
Apple iPhone SE 32GB / Cinzento / Grau C,https://www.ioutletstore.pt/shop/iphones/iphone-se/apple-iphone-se-32gb-cinzento-grau-c-6/,"124,74€"
Apple iPhone SE 16GB / Cinzento / Grau B,https://www.ioutletstore.pt/shop/iphones/iphone-se/apple-iphone-se-16gb-cinzento-grau-b-2/,"128,44€"
Apple iPhone SE 16GB / Cinzento / Grau C Mais,https://www.ioutletstore.pt/shop/iphones/iphone-se/apple-iphone-se-16gb-cinzento-grau-c-mais-3/,"119,60€"
Apple iPhone SE 16GB / Rosa Dourado / Grau C Mais,https://www.ioutletstore.pt/shop/iphones/iphone-se/apple-iphone-se-16gb-rosa-dourado-grau-c-mais/,"120,80€"
Apple iPhone SE (2020) 64GB / Vermelho / Grau C,https://www.ioutletstore.pt/shop/iphones/iphone-se-2020/apple-iphone-se-2020-64gb-vermelho-grau-c-3/,"241,02€"
Apple iPhone 8 Plus 256GB / Dourado / Grau C Mais,https://www.ioutletstore.pt/shop/iphones/iphone-8-plus/apple-iphone-8-plus-256gb-dourado-grau-c-mais-2/,"369,20€"
Apple iPhone 7 Plus 32GB / Dourado / Grau C,https://www.ioutletstore.pt/shop/iphones/iphone-7-plus/apple-iphone-7-plus-32gb-dourado-grau-c-2/,"214,97€"
Apple iPhone 7 32GB / Rosa Dourado / Grau C Mais,https://www.ioutletstore.pt/shop/iphones/iphone-7/apple-iphone-7-32gb-rosa-dourado-grau-c-mais-2/,"175,41€"
Apple iPhone 7 32GB / Prateado / Grau C,https://www.ioutletstore.pt/shop/iphones/iphone-7/apple-iphone-7-32gb-prateado-grau-c/,"198,74€"
Apple iPhone 7 128GB / Vermelho / Grau C Mais,https://www.ioutletstore.pt/shop/iphones/iphone-7/apple-iphone-7-128gb-vermelho-grau-c-mais-2/,"228,49€"
Apple iPhone 5S 16GB / Dourado / Grau C,https://www.ioutletstore.pt/shop/iphones/iphone5s/apple-iphone-5s-16gb-dourado-grau-c-2/,"96,92€"
Apple iPhone 14 128GB / Azul / Grau Premium,https://www.ioutletstore.pt/shop/iphones/iphone-14/apple-iphone-14-128gb-azul-grau-premium/,"1.164,07€"
